0 bytes,8 bytes,32 bytes,256 bytes,512 bytes,1024 bytes,4096 bytes,8192 bytes
35800,35500,37800,36500,35700,38300,38500,41100
35800,35700,37900,37100,37600,38400,39000,42700
35900,35900,38300,37200,37700,38600,39200,42700
35900,36000,38300,38500,37700,38600,39300,42700
35900,36000,38500,38600,37800,38700,39600,43100
35900,36100,38800,38700,37900,38700,39700,43200
36000,36100,38800,38700,38000,38700,39700,43300
36100,36200,38800,38800,38200,38800,39700,43400
36100,36200,38800,38800,38300,38800,39700,43400
36100,36200,38900,38900,38400,38800,39800,43500
36100,36200,38900,38900,38400,38800,39800,43500
36100,36400,38900,38900,38400,38800,39800,43500
36100,36500,38900,38900,38400,38900,39800,43500
36100,36500,38900,38900,38500,38900,39900,43500
36100,36500,38900,39000,38500,38900,39900,43600
36200,36500,38900,39000,38500,39000,39900,43600
36200,36600,38900,39000,38500,39000,39900,43700
36200,36600,38900,39100,38500,39000,39900,43700
36200,36600,38900,39100,38500,39000,39900,43700
36200,36600,39000,39100,38500,39000,39900,43800
36200,36600,39000,39100,38600,39000,39900,43800
36200,36700,39000,39100,38600,39000,39900,43800
36200,36700,39000,39100,38600,39000,39900,43800
36200,36700,39000,39100,38600,39100,40000,43800
36200,36700,39000,39100,38600,39100,40000,43900
36200,36800,39000,39100,38600,39100,40000,43900
36200,36800,39000,39100,38700,39100,40000,43900
36200,36800,39000,39200,38700,39100,40000,43900
36300,36800,39000,39200,38700,39100,40000,43900
36300,36900,39000,39200,38700,39100,40000,43900
36300,36900,39000,39200,38700,39100,40000,43900
36300,36900,39000,39200,38700,39100,40000,44000
36300,36900,39000,39200,38700,39100,40100,44000
36300,36900,39000,39200,38700,39100,40100,44000
36300,37000,39000,39200,38700,39100,40100,44000
36400,37000,39000,39200,38800,39200,40100,44000
36400,37000,39100,39200,38800,39200,40100,44000
36400,37000,39100,39200,38800,39200,40100,44100
36400,37000,39100,39200,38800,39200,40100,44100
36400,37000,39100,39200,38800,39200,40100,44100
36400,37000,39100,39200,38800,39200,40100,44100
36400,37000,39100,39200,38800,39200,40200,44100
36400,37100,39100,39200,38800,39200,40200,44200
36400,37100,39100,39300,38800,39200,40200,44200
36400,37100,39100,39300,38800,39200,40200,44200
36400,37100,39100,39300,38800,39200,40200,44200
36400,37200,39100,39300,38800,39300,40200,44200
36400,37200,39100,39300,38900,39300,40200,44300
36400,37200,39100,39300,38900,39300,40200,44300
36400,37200,39100,39300,38900,39300,40200,44300
36400,37200,39100,39300,38900,39300,40200,44300
36500,37200,39100,39300,38900,39300,40200,44300
36500,37200,39100,39300,38900,39300,40200,44300
36500,37300,39100,39300,38900,39400,40200,44300
36500,37300,39100,39300,39000,39400,40200,44300
36500,37300,39100,39300,39000,39400,40300,44300
36500,37300,39100,39300,39000,39400,40300,44300
36500,37300,39100,39300,39000,39400,40300,44400
36500,37400,39100,39300,39000,39400,40300,44400
36500,37400,39100,39300,39000,39400,40300,44400
36600,37400,39200,39300,39000,39400,40300,44500
36600,37400,39200,39400,39000,39500,40300,44500
36600,37500,39200,39400,39000,39500,40300,44500
36600,37500,39200,39400,39000,39500,40300,44500
36600,37500,39200,39400,39000,39500,40300,44500
36600,37500,39200,39400,39000,39500,40300,44500
36600,37600,39200,39400,39100,39500,40300,44500
36600,37600,39200,39400,39100,39500,40300,44600
36600,37600,39200,39400,39100,39500,40300,44600
36600,37700,39200,39400,39100,39500,40300,44600
36600,37700,39200,39400,39200,39500,40300,44600
36600,37800,39200,39400,39200,39500,40300,44600
36700,37800,39200,39400,39200,39500,40300,44600
36700,37900,39200,39400,39200,39600,40300,44600
36700,37900,39200,39400,39200,39600,40300,44700
36700,37900,39200,39400,39200,39600,40300,44700
36700,37900,39200,39400,39200,39600,40300,44700
36700,37900,39200,39400,39200,39600,40300,44700
36700,38000,39200,39400,39200,39600,40300,44700
36700,38000,39200,39400,39200,39600,40300,44700
36700,38000,39200,39400,39200,39600,40400,44700
36700,38000,39200,39500,39200,39600,40400,44700
36700,38100,39200,39500,39300,39600,40400,44700
36700,38100,39200,39500,39300,39600,40400,44800
36700,38100,39200,39500,39300,39600,40400,44800
36700,38100,39200,39500,39300,39600,40400,44800
36700,38200,39200,39500,39300,39600,40400,44800
36700,38200,39200,39500,39300,39600,40400,44800
36800,38200,39200,39500,39300,39600,40400,44800
36800,38200,39200,39500,39300,39700,40400,44800
36800,38300,39300,39500,39300,39700,40400,44800
36800,38300,39300,39500,39300,39700,40400,44800
36800,38400,39300,39500,39300,39700,40400,44800
36800,38400,39300,39500,39400,39700,40400,44800
36800,38400,39300,39500,39400,39700,40400,44800
36800,38400,39300,39500,39400,39700,40400,44800
36800,38400,39300,39500,39400,39700,40400,44800
36800,38400,39300,39500,39400,39700,40400,44800
36800,38500,39300,39500,39400,39800,40400,44900
36800,38600,39300,39500,39400,39800,40400,44900
36800,38600,39300,39500,39400,39800,40400,44900
36800,38600,39300,39500,39400,39800,40400,44900
36800,38700,39300,39500,39400,39800,40400,44900
36800,38700,39300,39500,39400,39800,40500,44900
36800,38700,39300,39500,39400,39800,40500,45000
36900,38700,39300,39500,39400,39900,40500,45000
36900,38700,39300,39500,39400,39900,40500,45000
36900,38700,39300,39500,39400,39900,40500,45000
36900,38700,39300,39500,39400,39900,40500,45000
36900,38700,39300,39500,39400,39900,40500,45000
36900,38700,39300,39500,39400,39900,40500,45000
36900,38700,39300,39500,39400,39900,40500,45000
36900,38700,39300,39500,39400,39900,40500,45000
36900,38800,39300,39500,39400,39900,40500,45000
36900,38800,39300,39500,39400,40000,40500,45000
36900,38800,39300,39500,39400,40000,40500,45000
36900,38800,39300,39500,39400,40000,40500,45000
36900,38800,39300,39500,39400,40000,40500,45000
36900,38900,39300,39500,39500,40000,40600,45000
